Country,time,value
Albania,Apr 10 2018,0.658881
Armenia,Apr 10 2018,3.675094
Australia,Apr 10 2018,3.616532
Austria,Apr 10 2018,1.87415
Azerbaijan,Apr 10 2018,1.37633
Belarus,Apr 10 2018,28.637652
Belgium,Apr 10 2018,3.012302
Bulgaria,Apr 10 2018,0.0
Croatia,Apr 10 2018,1.595955
Cyprus,Apr 10 2018,4.591079
Czech Republic,Apr 10 2018,6.916324
Denmark,Apr 10 2018,2.738016
Estonia,Apr 10 2018,1.566676
F.Y.R. Macedonia,Apr 10 2018,0.981002
Finland,Apr 10 2018,9.066261
France,Apr 10 2018,8.787068
Georgia,Apr 10 2018,0.512464
Germany,Apr 10 2018,3.074772
Greece,Apr 10 2018,1.493465
Hungary,Apr 10 2018,1.642812
Iceland,Apr 10 2018,0.191012
Ireland,Apr 10 2018,2.328045
Israel,Apr 10 2018,53.061566
Italy,Apr 10 2018,27.545452
Latvia,Apr 10 2018,0.585673
Lithuania,Apr 10 2018,4.21721
Malta,Apr 10 2018,0.658883
Moldova,Apr 10 2018,0.776017
Montenegro,Apr 10 2018,0.0
Netherlands,Apr 10 2018,15.61477
Norway,Apr 10 2018,13.334798
Poland,Apr 10 2018,5.797139
Portugal,Apr 10 2018,1.295345
Romania,Apr 10 2018,0.0
Russia,Apr 10 2018,9.981373
San Marino,Apr 10 2018,0.146419
Serbia,Apr 10 2018,0.469376
Slovenia,Apr 10 2018,1.083494
Spain,Apr 10 2018,37.338995
Sweden,Apr 10 2018,5.485713
Switzerland,Apr 10 2018,0.658881
Ukraine,Apr 10 2018,8.449161
United Kingdom,Apr 10 2018,2.386616
Albania,Apr 11 2018,0.556066
Armenia,Apr 11 2018,3.195776
Australia,Apr 11 2018,5.781755
Austria,Apr 11 2018,1.290074
Azerbaijan,Apr 11 2018,1.186276
Belarus,Apr 11 2018,26.042335
Belgium,Apr 11 2018,2.842259
Bulgaria,Apr 11 2018,0.0
Croatia,Apr 11 2018,1.104718
Cyprus,Apr 11 2018,4.136285
Czech Republic,Apr 11 2018,5.82228
Denmark,Apr 11 2018,2.303264
Estonia,Apr 11 2018,1.282663
F.Y.R. Macedonia,Apr 11 2018,0.919364
Finland,Apr 11 2018,15.489138
France,Apr 11 2018,9.584428
Georgia,Apr 11 2018,0.24467
Germany,Apr 11 2018,2.978036
Greece,Apr 11 2018,1.290076
Hungary,Apr 11 2018,1.683032
Iceland,Apr 11 2018,0.171126
Ireland,Apr 11 2018,1.723149
Israel,Apr 11 2018,39.69749
Italy,Apr 11 2018,23.893484
Latvia,Apr 11 2018,0.504168
Lithuania,Apr 11 2018,2.807638
Malta,Apr 11 2018,0.837809
Moldova,Apr 11 2018,0.652453
Montenegro,Apr 11 2018,0.0
Netherlands,Apr 11 2018,7.857982
Norway,Apr 11 2018,11.860548
Poland,Apr 11 2018,5.189707
Portugal,Apr 11 2018,1.095699
Romania,Apr 11 2018,0.0
Russia,Apr 11 2018,12.778663
San Marino,Apr 11 2018,0.111214
Serbia,Apr 11 2018,0.438222
Slovenia,Apr 11 2018,0.785908
Spain,Apr 11 2018,28.381537
Sweden,Apr 11 2018,5.288679
Switzerland,Apr 11 2018,0.689523
Ukraine,Apr 11 2018,9.841569
United Kingdom,Apr 11 2018,2.169012
Albania,Apr 12 2018,0.520643
Armenia,Apr 12 2018,3.506179
Australia,Apr 12 2018,5.543148
Austria,Apr 12 2018,1.377876
Azerbaijan,Apr 12 2018,1.072371
Belarus,Apr 12 2018,27.585634
Belgium,Apr 12 2018,2.35155
Bulgaria,Apr 12 2018,0.0
Croatia,Apr 12 2018,1.157848
Cyprus,Apr 12 2018,4.11437
Czech Republic,Apr 12 2018,5.21323
Denmark,Apr 12 2018,2.347303
Estonia,Apr 12 2018,1.437601
F.Y.R. Macedonia,Apr 12 2018,1.033517
Finland,Apr 12 2018,16.817414
France,Apr 12 2018,9.871149
Georgia,Apr 12 2018,0.271978
Germany,Apr 12 2018,3.27928
Greece,Apr 12 2018,1.134538
Hungary,Apr 12 2018,1.61633
Iceland,Apr 12 2018,0.179356
Ireland,Apr 12 2018,1.647408
Israel,Apr 12 2018,27.971664
Italy,Apr 12 2018,29.719409
Latvia,Apr 12 2018,0.435166
Lithuania,Apr 12 2018,2.261539
Malta,Apr 12 2018,0.878102
Moldova,Apr 12 2018,0.691602
