Job_Title,time,value
Security Guard,Average_Salary,45795.0
Research Scientist,Average_Salary,133355.0
Construction Worker,Average_Salary,146216.0
Software Engineer,Average_Salary,136530.0
Financial Analyst,Average_Salary,70397.0
AI Engineer,Average_Salary,92592.0
Mechanic,Average_Salary,107373.0
Teacher,Average_Salary,53419.0
HR Specialist,Average_Salary,139225.0
Customer Support,Average_Salary,85016.0
UX Researcher,Average_Salary,82733.0
Financial Analyst,Average_Salary,117455.0
Lawyer,Average_Salary,79811.0
Data Scientist,Average_Salary,115981.0
Research Scientist,Average_Salary,96690.0
Graphic Designer,Average_Salary,32869.0
Teacher,Average_Salary,36893.0
Teacher,Average_Salary,103744.0
Retail Worker,Average_Salary,148015.0
Doctor,Average_Salary,108069.0
AI Engineer,Average_Salary,43403.0
HR Specialist,Average_Salary,49508.0
Teacher,Average_Salary,58251.0
Financial Analyst,Average_Salary,33343.0
AI Engineer,Average_Salary,125435.0
Software Engineer,Average_Salary,39540.0
Mechanic,Average_Salary,68304.0
Customer Support,Average_Salary,33267.0
HR Specialist,Average_Salary,89031.0
HR Specialist,Average_Salary,102936.0
Teacher,Average_Salary,114076.0
Retail Worker,Average_Salary,69081.0
Retail Worker,Average_Salary,102124.0
Truck Driver,Average_Salary,91629.0
Teacher,Average_Salary,43843.0
Mechanic,Average_Salary,59703.0
Mechanic,Average_Salary,64349.0
Customer Support,Average_Salary,92292.0
Chef,Average_Salary,53524.0
Retail Worker,Average_Salary,88017.0
Graphic Designer,Average_Salary,111317.0
Doctor,Average_Salary,144825.0
Research Scientist,Average_Salary,52415.0
Construction Worker,Average_Salary,134680.0
Customer Support,Average_Salary,109714.0
Data Scientist,Average_Salary,97067.0
Construction Worker,Average_Salary,37561.0
Teacher,Average_Salary,142581.0
UX Researcher,Average_Salary,39111.0
Retail Worker,Average_Salary,72101.0
Security Guard,Average_Salary,117958.0
AI Engineer,Average_Salary,97444.0
AI Engineer,Average_Salary,30077.0
UX Researcher,Average_Salary,148721.0
Customer Support,Average_Salary,127720.0
Data Scientist,Average_Salary,50103.0
Graphic Designer,Average_Salary,145033.0
Doctor,Average_Salary,95310.0
Mechanic,Average_Salary,93374.0
Research Scientist,Average_Salary,71914.0
Financial Analyst,Average_Salary,132547.0
UX Researcher,Average_Salary,119106.0
UX Researcher,Average_Salary,82603.0
Security Guard,Average_Salary,131358.0
Security Guard,Average_Salary,83394.0
Nurse,Average_Salary,92516.0
Graphic Designer,Average_Salary,53752.0
AI Engineer,Average_Salary,108411.0
Chef,Average_Salary,116145.0
Data Scientist,Average_Salary,124613.0
Marketing Manager,Average_Salary,30060.0
Marketing Manager,Average_Salary,87134.0
Construction Worker,Average_Salary,67641.0
Research Scientist,Average_Salary,67265.0
Customer Support,Average_Salary,145608.0
Mechanic,Average_Salary,59629.0
Data Scientist,Average_Salary,85619.0
Software Engineer,Average_Salary,136506.0
Research Scientist,Average_Salary,148533.0
Financial Analyst,Average_Salary,105758.0
Marketing Manager,Average_Salary,55559.0
Financial Analyst,Average_Salary,31591.0
Financial Analyst,Average_Salary,32469.0
Marketing Manager,Average_Salary,117263.0
Retail Worker,Average_Salary,121357.0
Nurse,Average_Salary,54860.0
Retail Worker,Average_Salary,36540.0
Retail Worker,Average_Salary,58602.0
Lawyer,Average_Salary,69341.0
Doctor,Average_Salary,41536.0
Marketing Manager,Average_Salary,113309.0
AI Engineer,Average_Salary,78787.0
Graphic Designer,Average_Salary,98577.0
Construction Worker,Average_Salary,54826.0
Marketing Manager,Average_Salary,61890.0
HR Specialist,Average_Salary,75500.0
Truck Driver,Average_Salary,95128.0
UX Researcher,Average_Salary,49975.0
Chef,Average_Salary,75893.0
HR Specialist,Average_Salary,106619.0
HR Specialist,Average_Salary,113310.0
AI Engineer,Average_Salary,55611.0
Truck Driver,Average_Salary,108131.0
Research Scientist,Average_Salary,58625.0
Lawyer,Average_Salary,47087.0
Customer Support,Average_Salary,143942.0
Mechanic,Average_Salary,109973.0
Truck Driver,Average_Salary,57598.0
Doctor,Average_Salary,75379.0
HR Specialist,Average_Salary,130441.0
UX Researcher,Average_Salary,72668.0
Data Scientist,Average_Salary,140641.0
Marketing Manager,Average_Salary,46014.0
Data Scientist,Average_Salary,92438.0
Doctor,Average_Salary,102240.0
Truck Driver,Average_Salary,39686.0
Mechanic,Average_Salary,40754.0
Retail Worker,Average_Salary,40699.0
HR Specialist,Average_Salary,120373.0
Software Engineer,Average_Salary,70461.0
HR Specialist,Average_Salary,103965.0
Research Scientist,Average_Salary,58179.0
Doctor,Average_Salary,125694.0
Chef,Average_Salary,128723.0
Financial Analyst,Average_Salary,36548.0
Research Scientist,Average_Salary,40634.0
HR Specialist,Average_Salary,62784.0
Nurse,Average_Salary,37099.0
Graphic Designer,Average_Salary,74857.0
Data Scientist,Average_Salary,91063.0
Security Guard,Average_Salary,89765.0
Mechanic,Average_Salary,32461.0
Teacher,Average_Salary,53911.0
Financial Analyst,Average_Salary,50567.0
Marketing Manager,Average_Salary,52656.0
Research Scientist,Average_Salary,77701.0
Graphic Designer,Average_Salary,137539.0
Research Scientist,Average_Salary,46087.0
Lawyer,Average_Salary,67861.0
Construction Worker,Average_Salary,89792.0
Chef,Average_Salary,36397.0
Data Scientist,Average_Salary,49715.0
Lawyer,Average_Salary,122573.0
Graphic Designer,Average_Salary,133864.0
Chef,Average_Salary,48745.0
Doctor,Average_Salary,49446.0
Nurse,Average_Salary,98673.0
Customer Support,Average_Salary,93870.0
Financial Analyst,Average_Salary,72951.0
Construction Worker,Average_Salary,37239.0
Customer Support,Average_Salary,149798.0
Security Guard,Average_Salary,149052.0
Teacher,Average_Salary,39587.0
Marketing Manager,Average_Salary,120301.0
HR Specialist,Average_Salary,117969.0
Security Guard,Average_Salary,39528.0
Teacher,Average_Salary,95677.0
HR Specialist,Average_Salary,51778.0
Lawyer,Average_Salary,36816.0
Research Scientist,Average_Salary,53567.0
Lawyer,Average_Salary,121170.0
AI Engineer,Average_Salary,91944.0
Security Guard,Average_Salary,123905.0
Teacher,Average_Salary,73056.0
Truck Driver,Average_Salary,89156.0
Marketing Manager,Average_Salary,102124.0
Doctor,Average_Salary,54995.0
Mechanic,Average_Salary,100194.0
Lawyer,Average_Salary,97534.0
UX Researcher,Average_Salary,123547.0
AI Engineer,Average_Salary,111926.0
HR Specialist,Average_Salary,107487.0
HR Specialist,Average_Salary,107362.0
Financial Analyst,Average_Salary,44973.0
Research Scientist,Average_Salary,30340.0
Doctor,Average_Salary,104965.0
Truck Driver,Average_Salary,74789.0
Security Guard,Average_Salary,88954.0
Teacher,Average_Salary,78456.0
Financial Analyst,Average_Salary,116698.0
Chef,Average_Salary,40886.0
AI Engineer,Average_Salary,78511.0
AI Engineer,Average_Salary,136127.0
Truck Driver,Average_Salary,45592.0
Security Guard,Average_Salary,134859.0
Nurse,Average_Salary,119678.0
UX Researcher,Average_Salary,62402.0
Mechanic,Average_Salary,53478.0
Lawyer,Average_Salary,52005.0
Security Guard,Average_Salary,82389.0
Chef,Average_Salary,84336.0
Financial Analyst,Average_Salary,112594.0
Security Guard,Average_Salary,85243.0
UX Researcher,Average_Salary,85668.0
Software Engineer,Average_Salary,82428.0
Data Scientist,Average_Salary,107240.0
UX Researcher,Average_Salary,120270.0
AI Engineer,Average_Salary,74605.0
UX Researcher,Average_Salary,140059.0
Mechanic,Average_Salary,96155.0
Construction Worker,Average_Salary,131971.0
Teacher,Average_Salary,57413.0
Software Engineer,Average_Salary,138125.0
HR Specialist,Average_Salary,42602.0
Research Scientist,Average_Salary,110070.0
UX Researcher,Average_Salary,50954.0
Customer Support,Average_Salary,118691.0
Lawyer,Average_Salary,120453.0
Software Engineer,Average_Salary,37214.0
Research Scientist,Average_Salary,139269.0
Construction Worker,Average_Salary,119285.0
Research Scientist,Average_Salary,122268.0
Customer Support,Average_Salary,118791.0
Customer Support,Average_Salary,86408.0
Financial Analyst,Average_Salary,136464.0
Graphic Designer,Average_Salary,56049.0
Graphic Designer,Average_Salary,84845.0
Graphic Designer,Average_Salary,133937.0
AI Engineer,Average_Salary,143557.0
Data Scientist,Average_Salary,32994.0
Truck Driver,Average_Salary,54351.0
Teacher,Average_Salary,74816.0
Financial Analyst,Average_Salary,103788.0
Teacher,Average_Salary,40103.0
Marketing Manager,Average_Salary,34458.0
Construction Worker,Average_Salary,59493.0
Data Scientist,Average_Salary,93059.0
Graphic Designer,Average_Salary,121683.0
Lawyer,Average_Salary,46322.0
Software Engineer,Average_Salary,100293.0
Truck Driver,Average_Salary,79298.0
Construction Worker,Average_Salary,73937.0
Lawyer,Average_Salary,146464.0
Retail Worker,Average_Salary,106274.0
Chef,Average_Salary,32581.0
Truck Driver,Average_Salary,142309.0
Marketing Manager,Average_Salary,85612.0
Truck Driver,Average_Salary,65710.0
Security Guard,Average_Salary,46999.0
Customer Support,Average_Salary,142701.0
Teacher,Average_Salary,54031.0
Software Engineer,Average_Salary,115679.0
Mechanic,Average_Salary,63724.0
UX Researcher,Average_Salary,131154.0
Mechanic,Average_Salary,100014.0
Nurse,Average_Salary,35232.0
Graphic Designer,Average_Salary,114425.0
Research Scientist,Average_Salary,116795.0
Customer Support,Average_Salary,53559.0
Construction Worker,Average_Salary,94418.0
Data Scientist,Average_Salary,117954.0
Mechanic,Average_Salary,105831.0
HR Specialist,Average_Salary,48814.0
Research Scientist,Average_Salary,147904.0
Chef,Average_Salary,116694.0
Security Guard,Average_Salary,74739.0
AI Engineer,Average_Salary,110357.0
Lawyer,Average_Salary,44079.0
UX Researcher,Average_Salary,103648.0
UX Researcher,Average_Salary,143892.0
Data Scientist,Average_Salary,135296.0
Retail Worker,Average_Salary,66639.0
Graphic Designer,Average_Salary,105476.0
UX Researcher,Average_Salary,71830.0
Software Engineer,Average_Salary,129555.0
HR Specialist,Average_Salary,91576.0
Data Scientist,Average_Salary,137524.0
Retail Worker,Average_Salary,148360.0
Research Scientist,Average_Salary,55464.0
Data Scientist,Average_Salary,85798.0
Research Scientist,Average_Salary,133243.0
AI Engineer,Average_Salary,84710.0
UX Researcher,Average_Salary,38848.0
Teacher,Average_Salary,95942.0
Graphic Designer,Average_Salary,45086.0
Doctor,Average_Salary,39343.0
Marketing Manager,Average_Salary,89550.0
Graphic Designer,Average_Salary,70317.0
Financial Analyst,Average_Salary,102055.0
Data Scientist,Average_Salary,145660.0
Data Scientist,Average_Salary,64785.0
Graphic Designer,Average_Salary,70149.0
Mechanic,Average_Salary,100122.0
HR Specialist,Average_Salary,46524.0
Mechanic,Average_Salary,82347.0
Research Scientist,Average_Salary,71743.0
HR Specialist,Average_Salary,118302.0
Financial Analyst,Average_Salary,96706.0
Graphic Designer,Average_Salary,95780.0
Software Engineer,Average_Salary,78899.0
Chef,Average_Salary,92559.0
Security Guard,Average_Salary,140168.0
Software Engineer,Average_Salary,143857.0
Customer Support,Average_Salary,37189.0
Mechanic,Average_Salary,91158.0
Construction Worker,Average_Salary,52394.0
Nurse,Average_Salary,50245.0
Graphic Designer,Average_Salary,48624.0
AI Engineer,Average_Salary,46626.0
Teacher,Average_Salary,74950.0
Construction Worker,Average_Salary,130211.0
Chef,Average_Salary,117460.0
Truck Driver,Average_Salary,115489.0
Software Engineer,Average_Salary,143880.0
Security Guard,Average_Salary,41569.0
UX Researcher,Average_Salary,147027.0
Customer Support,Average_Salary,111384.0
Graphic Designer,Average_Salary,107463.0
Mechanic,Average_Salary,74148.0
Retail Worker,Average_Salary,59793.0
Marketing Manager,Average_Salary,102095.0
Doctor,Average_Salary,112508.0
Software Engineer,Average_Salary,97598.0
HR Specialist,Average_Salary,98472.0
Financial Analyst,Average_Salary,108291.0
HR Specialist,Average_Salary,130342.0
Teacher,Average_Salary,73894.0
Chef,Average_Salary,49023.0
AI Engineer,Average_Salary,34758.0
Customer Support,Average_Salary,47065.0
Research Scientist,Average_Salary,53464.0
UX Researcher,Average_Salary,102572.0
Construction Worker,Average_Salary,67344.0
Truck Driver,Average_Salary,122759.0
Customer Support,Average_Salary,66444.0
Software Engineer,Average_Salary,46932.0
Research Scientist,Average_Salary,55363.0
Doctor,Average_Salary,30893.0
Graphic Designer,Average_Salary,84962.0
Mechanic,Average_Salary,94173.0
Research Scientist,Average_Salary,82949.0
Construction Worker,Average_Salary,141738.0
Research Scientist,Average_Salary,80492.0
Mechanic,Average_Salary,117527.0
Teacher,Average_Salary,83639.0
Data Scientist,Average_Salary,66993.0
Security Guard,Average_Salary,61551.0
Research Scientist,Average_Salary,63896.0
Customer Support,Average_Salary,63686.0
Chef,Average_Salary,147256.0
Construction Worker,Average_Salary,103531.0
Lawyer,Average_Salary,53991.0
Lawyer,Average_Salary,39269.0
Financial Analyst,Average_Salary,149391.0
AI Engineer,Average_Salary,124598.0
Retail Worker,Average_Salary,89470.0
Retail Worker,Average_Salary,34321.0
Graphic Designer,Average_Salary,50977.0
Truck Driver,Average_Salary,62167.0
