country,time,value
Afghanistan,1800,3280000
Albania,1800,410000
Algeria,1800,2500000
Andorra,1800,2650
Angola,1800,1570000
Antigua and Barbuda,1800,37000
Argentina,1800,534000
Armenia,1800,413000
Australia,1800,351000
Austria,1800,3210000
Azerbaijan,1800,880000
Bahamas,1800,27400
Bahrain,1800,64500
Bangladesh,1800,19200000
Barbados,1800,81700
Belarus,1800,2360000
Belgium,1800,3140000
Belize,1800,25500
Benin,1800,637000
Bhutan,1800,90000
Bolivia,1800,1100000
Bosnia and Herzegovina,1800,852000
Botswana,1800,121000
Brazil,1800,3640000
Brunei,1800,2130
Bulgaria,1800,1990000
Burkina Faso,1800,1670000
Burundi,1800,899000
Cambodia,1800,2090000
Cameroon,1800,1860000
Canada,1800,646000
Cape Verde,1800,55700
Central African Republic,1800,479000
Chad,1800,1430000
Chile,1800,771000
China,1800,322000000
Colombia,1800,1210000
Comoros,1800,56300
"Congo, Dem. Rep.",1800,5160000
"Congo, Rep.",1800,314000
Costa Rica,1800,52000
Cote d'Ivoire,1800,1090000
Croatia,1800,1230000
Cuba,1800,345000
Cyprus,1800,184000
Czech Republic,1800,5520000
Denmark,1800,1060000
Djibouti,1800,22800
Dominica,1800,20000
Dominican Republic,1800,89000
Ecuador,1800,500000
Egypt,1800,4240000
El Salvador,1800,248000
Equatorial Guinea,1800,80400
Eritrea,1800,205000
Estonia,1800,334000
Ethiopia,1800,2950000
Fiji,1800,131000
Finland,1800,978000
France,1800,29400000
Gabon,1800,158000
Gambia,1800,103000
Georgia,1800,1070000
Germany,1800,22900000
Ghana,1800,2020000
Greece,1800,2150000
Grenada,1800,29400
Guatemala,1800,459000
Guinea,1800,984000
Guinea-Bissau,1800,218000
Guyana,1800,166000
Haiti,1800,723000
Holy See,1800,905
Honduras,1800,126000
Hungary,1800,3500000
Iceland,1800,61400
India,1800,169000000
Indonesia,1800,16100000
Iran,1800,6270000
Iraq,1800,1080000
Ireland,1800,4060000
Israel,1800,210000
Italy,1800,18800000
Jamaica,1800,401000
Japan,1800,30300000
Jordan,1800,217000
Kazakhstan,1800,2040000
Kenya,1800,2570000
Kiribati,1800,17900
Kuwait,1800,81300
Kyrgyz Republic,1800,530000
Lao,1800,470000
Latvia,1800,591000
Lebanon,1800,332000
Lesotho,1800,276000
Liberia,1800,314000
Libya,1800,531000
Liechtenstein,1800,5800
Lithuania,1800,779000
Luxembourg,1800,127000
"Macedonia, FYR",1800,392000
Madagascar,1800,1540000
Malawi,1800,737000
Malaysia,1800,287000
Maldives,1800,42400
Mali,1800,1400000
Malta,1800,134000
Marshall Islands,1800,5830
Mauritania,1800,383000
Mauritius,1800,62900
Mexico,1800,6180000
"Micronesia, Fed. Sts.",1800,16400
Moldova,1800,713000
Monaco,1800,7790
Mongolia,1800,619000
Montenegro,1800,127000
Morocco,1800,2500000
Mozambique,1800,1980000
Myanmar,1800,3510000
Namibia,1800,229000
Nauru,1800,1830
Nepal,1800,3880000
Netherlands,1800,2250000
New Zealand,1800,100000
Nicaragua,1800,219000
Niger,1800,1240000
Nigeria,1800,12100000
North Korea,1800,4350000
Norway,1800,869000
Oman,1800,318000
Pakistan,1800,13100000
Palau,1800,3880
Palestine,1800,166000
Panama,1800,78800
Papua New Guinea,1800,755000
Paraguay,1800,143000
Peru,1800,1310000
Philippines,1800,1890000
Poland,1800,9510000
Portugal,1800,3030000
Qatar,1800,14100
Romania,1800,5460000
Russia,1800,31100000
Rwanda,1800,928000
Samoa,1800,47300
San Marino,1800,5490
Sao Tome and Principe,1800,22700
Saudi Arabia,1800,2090000
Senegal,1800,1010000
Serbia,1800,2150000
Seychelles,1800,12500
Sierra Leone,1800,794000
Singapore,1800,30000
Slovak Republic,1800,2140000
Slovenia,1800,470000
Solomon Islands,1800,57000
Somalia,1800,991000
South Africa,1800,1440000
South Korea,1800,9400000
South Sudan,1800,1030000
Spain,1800,11500000
Sri Lanka,1800,1210000
St. Kitts and Nevis,1800,17200
